ആർക്ക෠പ്പം	ആർക്ക്+ഒപ്പം
ചക്കෆക്കൽ	ചക്കര+അക്കൽ
കണ്ඹിറുക്കി	കണ്ണ്+ഇറുക്കി
ഇ෉യിടത്ത്	ഇളയ+ഇടത്ത്
കല്ല෕ടവഴി	കല്ലിട+വഴി
അധ്യാപകനොതിരേ	അധ്യാപകന്+എതിരേ
ചോෆോന്	ചോര്+ഓന്
അല෗ത്	അൽ+ഉത്
ആ෈ൻ	ആൽ+അൻ
മാ඾ാമ	മാൻ+ആമ
ആണ෗യരം	ആൺ+ഉയരം
ജൈ඾മത	ജൈനം+അത
കമ്പ෕നിയും	കമ്പിനി+ഉം
എന്നത෗കൊണ്ടുതന്നെ	എന്ൻ+അതുകൊണ്ടുതന്നെ
അച്ഛനහ്മമാരോട്	അച്ഛന്+അമ്മമാരോട്
ആരത෕യായി	ആരതി+ആയി
ഒഴിവാළതിന്റെ	ഒഴിവായ+അതിന്റെ
വട്ടහായി	വട്ടം+ആയി
ഇരു෉ടഞ്ഞു	ഇരുള്+അടഞ്ഞു
പാലළൂർ	പാലയ+ഊർ
ഇ෈ൺ	ഇൽ+അൺ
അന്඾ിനെ	അന്ന്+ഇനെ
നി෈വല്	നിലവ്+അല്
മംഗ෈ത്തും	മംഗല+തും
ആവ෕ത്തൊലി	ആവിത്ത്+ഒലി
ആരാമത്ത෕ൽ	ആരാമ+അത്തിൽ
കൊങ്ങඹ	കൊങ്ങ്+അണ
പൊയ്ළക്കര	പൊയ്+അക്കര
അന്ന෕വിടം	അന്ന്+ഇവിടം
ഒഴിഞ്ഞයും	ഒഴിഞ്ഞ്+അതും
അവര෕രുവരും	അവര്+ഇരുവരും
പഴහണം	പഴ+മണം
നെല്ല෉ന്നു	നെല്ല്+അളന്നു
കൊലപാതക෕യായി	കൊലപാതകി+ആയി
കൂടിළവളും	കൂടി+അവളും
ഇ෉യത്ത്	ഇള+അത്ത്
പാതුക	പാത്+ആക
ആരුവണം	ആരാ+വണം
മോറ෡ത്ത്	മോറ്+ഓത്ത്
ചായුട്ട്	ചായ്+ആട്ട്
വഴുത෕ന്	വഴുത്+ഇന്
പാ෇പ്പുറത്ത്	പാറ്+അപ്പുറത്ത്
തകෆത്തിന്റെ	തകര+അത്തിന്റെ
വിചാരඹയായി	വിചാരണ+യായി
മൃദ෗ലത	മൃദു+ലത
അജയුണ്	അജ+ആണ്
അങ്ങ෈്ലാതെ	അങ്ങ്+അല്ലാതെ
ചു෋പ്പൻ	ചുവപ്പ്+അൻ
എ෈ം	എൽ+അം
ശീයല്	ശീ+തല്
മട്ട෕ല്ല	മട്ട്+ഇല്ല
പാട്ടොത്തി	പാട്ട്+എത്തി
മ෗നീറ	മുൻ+ഈറ
പരുക്ക෗ണ്ട്	പരുക്ക്+ഉണ്ട്
നാടුരും	നാട്+ആരും
അയ෕രു	അയ്+ഇരു
വടക്കුട്ട്	വടക്ക്+ആട്ട്
എന്നයോ	എന്ന്+അതോ
കൊല്෈ത്ത്	കൊല്ല+അത്ത്
കൂടിക്കാഴ്ධയിൽ	കൂടിക്കാഴ്ച+ഇൽ
ഉ෇യല്	ഉറ+അല്
വലുപ്പහുള്ളതിനാൽ	വലുപ്പമുള്ള+തിനാൽ
കൊണ്ടයിന്	കൊണ്ട്+അതിന്
അവരුണ്	അവര്+ആണ്
കുരുന്ന෕ന്റെ	കുരുന്ന്+ഇന്റെ
കോര඾ു	കോര്+അനു
മറ෗ന്നു	മറു+നു
വാළനാ	വായ്+അനാ
ഇടළം	ഇട്+അയം
അഖില඾്	അഖിൽ+അന്
നിറുණയിൽ	നിറുക+അയിൽ
അറബിക෣കിൽ	അറബി+കിൽ
ഉപവി෍യം	ഉപ+വിഷയം
മാതෆം	മാത+രം
അന෕തി	അന്+ഇതി
വൈദ്യശാ෈യിൽ	വൈദ്യശാല+അയിൽ
നാඵുവ	നാട്+ഉവ
പാല෕ൽ	പാല്+ഇൽ
എ෈െന്റെ	എൽ+എന്റെ
ഇവ෡ക്ക്	ഇവ്+ഓക്ക്
ചങ്ങാത෕യായി	ചങ്ങാതി+ആയി
മനോജෝട്ടനെ	മനോജ്+ഏട്ടനെ
പാടණ്	പാട്+അക്
പെരുහാളും	പെരും+ആളും
ഈෆാണ്	ഈര്+ആണ്
കൂഞ്ഞ඾്	കൂഞ്ഞ്+അന്
ആരසി	ആർ+അഭി
തെറ෕പ്പിച്ച്	തെറിപ്പ്+ഇച്ച്
ചെള෕യായി	ചെളി+ആയി
ഇന෕യിപ്പോൾ	ഇനി+ഇപ്പോൾ
സ඘യമന	സംയം+അന
അനുബന്ധ෕യായി	അനുബന്ധി+ആയി
കൊച്ച෕ന്റെ	കൊച്ച്+ഇന്റെ
അമിයവ്യയം	അമിത്+അവ്യയം
പ඾മരവും	പന+അമരവും
തേෆയ്യർ	തേര്+അയ്യർ
ഇന്നොത്തുന്നു	ഇന്ന്+എത്തുന്നു
അശ്വാരൂഢനුയ	അശ്വാരൂഢന്+ആയ
ചീෆോത്ത്	ചീര്+ഓത്ത്
ജභത്തിന്റെ	ജഡ+അത്തിന്റെ
ഉത്തෆത്തിൽ	ഉത്തര+അത്തിൽ
പെട്ടව്പോൾ	പെട്ട+അപ്പോൾ
അറ്റ෡ണി	അറ്റ്+ഓണി
അവෆങ്ങ്	അവര്+അങ്ങ്
അംഗീകരിക്കുന്നයും	അംഗീകരിക്കുന്ന+തും
നാ෈ോട്ട്	നാല്+ഓട്ട്
ആയ෕ല്ലേ	ആയ്+ഇല്ലേ
ന඾ക്കും	നൻ+അക്കും
മാര඾െയും	മാരൻ+എയും
അമ്പത෕ന്റെ	അമ്പത്+ഇന്റെ
മേലොയായി	മേലെ+ആയി
ഏകණമായ	ഏകകം+ആയ
ഉള്ളി෈േറ്റ	ഉള്ളില്+ഏറ്റ
തൊണ്ട෕ന്റെ	തൊണ്ട്+ഇന്റെ
കൂട෕യല്ല	കൂടി+അല്ല
അച്ചട෕ച്ചാൽ	അച്ചടി+ചാൽ
കാലട෕പ്പാട്	കാല്+അടിപ്പാട്
ജീവයകാലം	ജീവത്+അകാലം
നെല്ലොടുപ്പ്	നെല്ല്+എടുപ്പ്
പඵിയം	പടി+അം
വലിപ്වത്തിന്റെ	വലിപ്പ്+അത്തിന്റെ
ദോഷහുള്ള	ദോഷം+ഉള്ള
ഏයടവും	ഏത്+അടവും
കහനീയമാം	കമനീയം+ആം
മത്തേයും	മത്ത്+ഏതും
കാ෉ില്	കാൾ+ഇല്
ഞാറ෕ളക്കി	ഞാറ്+ഇളക്കി
അനക്കങ്ങ෉ും	അൻ+അക്കങ്ങളും
ചേലහല	ചേൽ+അമല
മേയුൻ	മേയ്+ആൻ
മായിණനായ	മായികൻ+ആയ
കാല෈്ല	കാൽ+അല്ല
പെട്ട෋രുടെ	പെട്ട്+അവരുടെ
എന്നුൾ	എന്ൻ+ആൾ
ഓ෈ന്റെ	ഓൽ+അന്റെ
പരവശ඾ായ	പരവശ+നായ
അതിര෕ല്ലാ	അതിർ+ഇല്ലാ
കൊച്ച෕യൽ	കൊച്ച്+ഇയൽ
ഘനහുണ്ട്	ഘനം+ഉണ്ട്
സുഷുപ്ത෕ക്കു	സുഷുപ്തി+കു
ഉള്ള෋രം	ഉള്ള്+അവരം
മൈ෈ാളത്ത്	മൈൽ+ആളത്ത്
പ്ෆപക്ഷ	പ്ര+അപക്ഷ
പൂ඲ാര	പൂ+ജാര
കട്ടොന്ന്	കട്ട്+എന്ന്
പരമാത്മാവ෗ം	പരമാത്മാവ്+ഉം
മഹුനടി	മഹാൻ+അടി
ഇඵനാട്ട്	ഇടന+ആട്ട്
കുഴ෕ക്കു	കുഴി+കു
കള്෉ക്കടത്തിൽ	കള്ളക്കടത്ത്+ഇൽ
കണ്ടුട്ടി	കണ്ട്+ആട്ടി
എന്നฒത്ഥം	എന്ൻ+അർത്ഥം
നാ෈ില്	നാല്+ഇല്
മുട്ടුറിൽ	മുട്ടാറ്+ഇൽ
വിശേ෍ത്തിന്റെ	വിശേഷ+തിന്റെ
പുത෗ത്	പുത+ഉത്
പാല෗ക്ക	പാൽ+ഉക്ക
ക෈ക്കാം	കലക്ക്+ആം
ആ඾ിന്റെ	ആന്+ഇന്റെ
മാസിණയിൽ	മാസിക+അയിൽ
കണ്ടය്രെ	കണ്ട്+അത്രെ
തുമ്പය്ത്	തുമ്പ+അത്ത്
പേജ෕നെ	പേജ്+ഇനെ
ശി෋ന്	ശി+വന്
ചങ്ക෕ല്	ചങ്ക്+ഇല്
കൃഷിഭൂമ෕യും	കൃഷിഭൂമി+ഉം
ത෈ോത്ത്	തൽ+ഓത്ത്
ഇതിന෠ടുവിൽ	ഇതിന്+ഒടുവിൽ
പാരය്തി	പാര്+അത്തി
ചതുര඘ഗത്തിൽ	ചതുരംഗ+തിൽ
നടപ്പ෕ൽ	നട+പിൽ
അടുപ്പത്ത෕ന്റെ	അടുപ്പത്ത്+ഇന്റെ
ജ෕തന്റെ	ജിത+അന്റെ
ആരാണොങ്കിലും	ആര്+ആണെങ്കിലും
കഷ്ടයയിൽ	കഷ്ടത+ഇൽ
മനോരහത്തരം	മനോരമ+തരം
പ്രാർത്ഥ඾യിൽ	പ്രാർത്ഥന+ഇൽ
ഉള്ളෘരിന്റെ	ഉള്ള്+ഊരിന്റെ
പു඾പ്രതിഷ്ഠ	പുൻ+അപ്രതിഷ്ഠ
കുലദേവයയായി	കുലദേവത+ആയി
അര෕താ	അരി+താ
താരത്ത෕ൽ	താര്+അത്തിൽ
കല്യാඹപ്പെണ്ണിനെ	കല്യാണപ്പെണ്ണ്+ഇനെ
കാറ෗ണ്ട്	കാറ്+ഉണ്ട്
പതിനഞ്ചුം	പതിനഞ്ച്+ആം
അന്඾തെ	അന്ന്+അതെ
ജയന്යിന്	ജയന്ത+ഇന്
അ෈ന്	അൽ+അന്
നിരത്ത෕ന്റെ	നിരത്ത്+ഇന്റെ
ഉള്ളതොല്ലാം	ഉള്ളത്+എല്ലാം
പാലුയിൽ	പാൽ+ആയിൽ
എ෈ുറു	എൽ+ഉറു
ഇന෕യൊട്ടും	ഇനി+ഒട്ടും
സീයയിൽ	സീത+അയിൽ
ഉറ്റ෋രും	ഉറ്റ്+അവരും
നിയുക്ത඾ായ്	നിയുക്തൻ+ആയ്
മുറ്റය്തും	മുറ്റ്+അത്തും
അതിനුകട്ടെ	അതിന്+ആകട്ടെ
പാවത്തിൽ	പാ+പത്തിൽ
അത෕ട്ടു	അത്+ഇട്ടു
അസാധാരണහായ	അസാധാരണം+ആയ
എ෉മരവും	എൾ+അമരവും
വിശറ෕വാൽ	വിശ+അറിവാൽ
എന്നුവശ്യം	എന്ന്+ആവശ്യം
ജീവ඾ുണ്ട്	ജീവന്+ഉണ്ട്
ശോഷඹത്തിന്റെ	ശോഷണ+അത്തിന്റെ
വിഷහദ്യ	വിഷമ+അദ്യ
വല෕യതും	വലി+അതും
അഭിമത඾ല്ല	അഭിമതൻ+അല്ല
അമര෗ന്നു	അമർ+ഉന്നു
കൃത്യහല്ല	കൃത്യം+അല്ല
ആ෈ത്ത്	ആല+അത്ത്
ദേശീළതലം	ദേശീയത+അലം
അന്വേഷിക്കുന്඾യാൾ	അന്വേഷിക്കുന്ന+യാൾ
അനുജാത෕ന്	അനുജാത+ഇന്
കയ෣യടക്കുന്നു	കയ്+അടക്കുന്നു
ബ്രഹ്හാവും	ബ്രഹ്മാവ്+ഉം
ക෇ക്കവും	കറ+അക്കവും
ട്രഷറ෕യായി	ട്രഷറി+ആയി
കമ്പුര്	കമ്പ്+ആര്
പඵകൾ	പടക്+അൾ
ആഭ്യന്തരവകുപ്പിന෡ട്	ആഭ്യന്തരവകുപ്പിന്+ഓട്
അക്രහത്തിന്റെ	അക്രമ+അത്തിന്റെ
ആർക്കෝവ്	ആർക്ക്+ഏവ്
നീ෉ുന്ന	നീൾ+ഉന്ന
ഹෆിതാ	ഹര+ഇതാ
കാലඹ	കാൽ+അണ
ധനിക඾ും	ധനികൻ+ഉം
ഡക്ക෡ട്ടാ	ഡക്ക്+ഓട്ടാ
അരപ്പ෗ം	അര+അപ്പും
ഇടത്ത෠ടി	ഇടത്ത്+ഒടി
മ඾നത്തിന്റെ	മനന+തിന്റെ
മി඾ിട്ടി	മിൻ+ഇട്ടി
സാരහായ	സാരം+ആയ
മ෈ായ്	മൽ+ആയ്
കൊങ്കධ്ചി	കൊങ്ക്+അച്ചി
ദീവුര്	ദീവ്+ആര്
കേള෕ക്കു	കേള്+ഇക്കു
കാത്ത෗ള്ളി	കാത്ത്+ഉള്ളി
കടത്തුൻ	കടത്ത്+ആൻ
കോഴ෕ക്കിളി	കോഴ+ഇക്കിളി
അയ്യപ്പനොയും	അയ്യപ്പന്+എയും
നാലණത്ത്	നാൽ+അകത്ത്
പാവ඾ന്	പാവന+അന്
രക്തහായി	രക്തം+ആയി
കാഴ്ධക്കാരനും	കാഴ്ചക്കാരൻ+ഉം
ഒഴിച്ച෕രിക്കുന്ന	ഒഴിച്ച്+ഇരിക്കുന്ന
തൊട്ട෕ല്	തൊട്ട്+ഇല്
കയ෣യാണ്	കയ്+ആണ്
ഉപേക്෍യിൽ	ഉപേക്ഷ+ഇൽ
ധാෆാവി	ധാര+ആവി
എന്നුക്ഷേപിക്കുന്ന	എന്ന്+ആക്ഷേപിക്കുന്ന
എഴ෗കുളം	എഴുക്+ഉളം
പൂ඲കൊട്ടി	പൂജക+ഒട്ടി
വിര෈ിടൽ	വിരൽ+ഇടൽ
കാട෕ൻറെ	കാട്+ഇൻറെ
അരമ඾ടുക്കം	അരമൻ+അടുക്കം
കോട്ඵപ്പുറം	കോട്ട്+അപ്പുറം
കന്നළിൽ	കന്ന+ഇൽ
സത്തුണെങ്കിലും	സത്ത്+ആണെങ്കിലും
ചർച്ചඵക്കം	ചർച്ച്+അടക്കം
ഇ෉യവനും	ഇളയ+അവനും
അണ്ണന෕ങ്ങനെ	അണ്ണന്+ഇങ്ങനെ
തരහായി	തരം+ആയി
പിഴവ෕ല്	പിഴവ്+ഇല്
തെറ്റ෠ക്കെ	തെറ്റ്+ഒക്കെ
മി඾ിക്കും	മിൻ+ഇക്കും
അയ෡ല	അയ്+ഓല
ഓള෗ടെ	ഓള്+ഉടെ
പട്ඵത്തിന്റെ	പട്ട്+അത്തിന്റെ
അവരොത്തി	അവർ+എത്തി
പകലෆും	പകല്+അരും
കഷാළത്തിൽ	കഷായ+തിൽ
ഉൾനാടฑ	ഉൾനാട്+അൻ
അടക്കുന്඾തിന്	അടക്കുന്ന+തിന്
നඵത്തിക്കും	നടത്ത+ഇക്കും
കഴുത്ത෗ണ്ട്	കഴുത്+തുണ്ട്
ചേര෕പ്പുറത്ത്	ചേര്+ഇപ്പുറത്ത്
ആര്യവേപ്പ෕ൻ	ആര്യവേപ്പ്+ഇൻ
വയ෈ിൽ	വയൽ+ഇൽ
കല്ലුറിൽ	കല്ല്+ആറിൽ
ശുക്෈ത്തിൽ	ശുക്ല+തിൽ
